YOLA, NIGERIA:9.26028:12.4297
ZARIA, NIGERIA:11.13:7.68556
MARADI, NIGER:13.5025:7.12667
NIAMEY, NIGER:13.4814:2.18361
TAHOUA, NIGER:14.8756:5.26528
AGADEZ, NIGER:16.9647:7.99694
DIRKOU, NIGER:18.9686:12.8686
DIFFA, NIGER:13.3728:12.6267
ZINDER, NIGER:13.7789:8.98361
TANOUT, NIGER:14.9994:8.76694
MONASTIR, TUNISIA:35.7581:10.7547
TUNIS, TUNISIA:36.8508:10.2269
BIZERTE, TUNISIA:37.2453:9.79139
REMADA, TUNISIA:32.3061:10.3819
GAFSA, TUNISIA:34.4219:8.8225
GABES, TUNISIA:33.8767:10.1033
BORDJ EL AMRI, TUNISIA:36.7211:9.94306
DJERBA, TUNISIA:33.875:10.7753
EL BORMA, TUNISIA:31.7042:9.25444
SFAX, TUNISIA:34.7178:10.6908
TOZEUR, TUNISIA:33.9397:8.11056
NIATOUGOU, TOGO:9.76722:1.09111
LOME, TOGO:6.16556:1.25389
ANTWERP, BELGIUM:51.19:4.46278
BEAUVECHAIN, BELGIUM:50.7586:4.76833
KLEINE BROGEL, BELGIUM:51.1678:5.47083
BRUSSELS, BELGIUM:50.9022:4.49861
BRASSCHAAT, BELGIUM:51.3333:4.5
BERTRIX, BELGIUM:49.8872:5.22861
CHARLEROI, BELGIUM:50.4592:4.45361
CHIEVRES, BELGIUM:50.5758:3.83083
KOKSIJDE, BELGIUM:51.09:2.65278
FLORENNES, BELGIUM:50.2436:4.64861
KORTRIJK-VEVELGEM, BELGIUM:50.8178:3.20833
LIEGE, BELGIUM:50.6372:5.44306
OSTEND, BELGIUM:51.1989:2.86222
ZUTENDAAL, BELGIUM:50.9483:5.59167
SINT-TRUIDEN, BELGIUM:50.7883:5.19278
URSEL, BELGIUM:51.1439:3.47417
WEELDE, BELGIUM:51.395:4.96056
ZOERSEL, BELGIUM:51.2656:4.75472
BAUTZEN, GERMANY:51.1933:14.5197:66
ALTENBURG, GERMANY:50.9817:12.5061:45
DESSAU, GERMANY:51.8319:12.1858:182
EISENHUETTENSTADT, GERMANY:52.1972:14.5856:63
HERINGSDORF, GERMANY:53.8786:14.1522:37
SUHL, GERMANY:51.3081:13.5547:141
MUEHLHAUSEN, GERMANY:51.3628:11.9408:130
HALLE, GERMANY:51.5519:12.0525:135
RIESA, GERMANY:51.2944:13.3589:58
RECHLIN-LAERZ, GERMANY:53.3064:12.7531:43
STRAUSBERG, GERMANY:52.5797:13.9156:67
COCHSTEDT, GERMANY:51.8558:11.4181:29
BARTH, GERMANY:54.3381:12.71:40
JENA, GERMANY:50.9172:11.7136:114
KYRITZ, GERMANY:52.9186:12.4253:156
MAGDEBURG, GERMANY:52.0736:11.6264:201
NEUBRANDENBURG, GERMANY:51.3281:12.6567:85
ANKLAM, GERMANY:53.8325:13.6689:56
COTTBUS, GERMANY:51.8894:14.5317:164
KOETHEN, GERMANY:51.7211:11.9617:78
KAMENZ, GERMANY:51.2961:14.1289:98
BERLIN, GERMANY:52.5170365:13.3888599:891
DRESDEN, GERMANY:51.0493286:13.7381437:328
ERFURT, GERMANY:50.98:10.9581:269
FRANKFURT, GERMANY:50.1106444:8.6820917:248
MUENSTER/OSNABRUECK, GERMANY:52.1344:7.68472:302
HAMBURG, GERMANY:53.550341:10.000654:755
COLOGNE, GERMANY:50.8658:7.1425:405
DUESSELDORF, GERMANY:51.2894:6.76667:217
MUNICH, GERMANY:48.1371079:11.5753822:310
NUERNBERG, GERMANY:49.453872:11.077298:186
LEIPZIG, GERMANY:51.3406321:12.3747329:297
SAARBRUECKEN, GERMANY:49.2144:7.10944:167
STUTTGART, GERMANY:48.7784485:9.1800132:207
HANNOVER, GERMANY:52.3744779:9.7385532:204
BREMEN, GERMANY:53.0758196:8.8071646:326
EGELSBACH, GERMANY:49.9608:8.64361:14
HAHN, GERMANY:49.9497:7.26389:5
MANNHEIM, GERMANY:49.4725:8.51361:145
ALLENDORF, GERMANY:51.0353:8.67889:41
WORMS, GERMANY:49.6064:8.36833:108
MAINZ, GERMANY:49.9689:8.1475:97
EISENACH, GERMANY:50.9928:10.4725:104
SIEGERLAND, GERMANY:50.7075:8.08194:114
KIEL, GERMANY:54.3794:10.145:118
LUEBECK, GERMANY:53.8053:10.7192:214
AACHEN, GERMANY:50.8228:6.18722:160
MEINERZHAGEN, GERMANY:51.0994:7.60194:115
ARNSBERG, GERMANY:51.4833:7.89917:193
KAMP, GERMANY:51.5303:6.53694:63
ESSEN, GERMANY:51.4582235:7.0158171:210
MOENCHENGLADBACH, GERMANY:51.2303:6.50444:170
PADERBORN, GERMANY:51.6142:8.61611:179
STADTLOHN, GERMANY:51.9958:6.84028:79
DORTMUND, GERMANY:51.5142273:7.4652789:280
AUGSBURG, GERMANY:48.425:10.9317:146
BIBERACH, GERMANY:48.1108:9.76278:72
EGGENFELDEN, GERMANY:48.3961:12.7236:44
STRAUBING, GERMANY:48.9008:12.5181:67
VILSHOFEN, GERMANY:48.6364:13.1953:86
LEUTKIRCH, GERMANY:47.8589:10.0144:175
FRIEDRICHSHAFEN, GERMANY:47.6711:9.51139:69
PARCHIM, GERMANY:53.4269:11.7833:124
STENDAL, GERMANY:52.6289:11.8197:268
COBURG, GERMANY:50.2625:10.9958:48
BAYREUTH, GERMANY:49.9842:11.6383:66
HOF, GERMANY:50.2886:11.8547:58
ROSENTHAL, GERMANY:49.8628:11.7878:51
HASSFURT, GERMANY:50.0178:10.5294:52
KOBLENZ, GERMANY:50.3247:7.53083:105
TRIER, GERMANY:49.8633:6.78889:117
SPEYER, GERMANY:49.3025:8.45111:42
ZWEIBRUECKEN, GERMANY:49.2094:7.40056:70
BADEN-BADEN, GERMANY:48.7911:8.18694:140
DONAUESCHINGEN, GERMANY:47.9731:8.52222:104
FREIBURG, GERMANY:48.0203:7.83361:153
KARLSRUHE, GERMANY:48.9822:8.33333:173
MENGEN, GERMANY:48.0536:9.37278:49
SCHWAEBISCH HALL, GERMANY:49.1181:9.77722:104
SOEST, GERMANY:51.6075:13.7378:85
BRAUNSCHWEIG, GERMANY:52.3192:10.5561:192
KASSEL, GERMANY:51.4083:9.3775:106
HILDESHEIM, GERMANY:52.1775:9.94556:92
BREMERHAVEN, GERMANY:53.5033:8.57333:93
LEMWERDER, GERMANY:53.1431:8.62333:36
EMDEN, GERMANY:53.3911:7.22722:112
LEER, GERMANY:53.2719:7.44278:70
WILHELMSHAVEN, GERMANY:53.5047:8.05333:106
BORKUM, GERMANY:53.5953:6.70917:30
NORDERNEY, GERMANY:53.7067:7.23:26
FLENSBURG, GERMANY:54.7717:9.37806:56
RENDSBURG, GERMANY:54.2208:9.60056:23
WESTERLAND, GERMANY:54.9131:8.34028:10
KARDLA, ESTONIA:58.9906:22.8306
KURESSAARE, ESTONIA:58.2297:22.5094
PARNU, ESTONIA:58.4189:24.4728
TALLINN-ULEMISTE INTERNATIONAL, ESTONIA:59.4131:24.8328
TARTU-ULENURME, ESTONIA:58.3072:26.6903
ENONTEKIO, FINLAND:68.3625:23.4242
EURA, FINLAND:61.1161:22.2014
HALLI, FINLAND:61.8558:24.7864
HELSINKI, FINLAND:60.23542123800722:24.927984421582043
HAMEENKYRO, FINLAND:61.6894:23.0736
HANKO, FINLAND:59.8486:23.0833
HYVINKAA, FINLAND:60.6544:24.8811
KIKALA, FINLAND:60.4625:23.6525
IMMOLA, FINLAND:61.2492:28.9036
KITEE, FINLAND:62.1661:30.0736
IVALO, FINLAND:68.6072:27.4053
JOENSUU, FINLAND:62.6589:29.6244
JYVASKYLA, FINLAND:62.3994:25.6781
KAUHAVA, FINLAND:63.1269:23.0514
KEMI, FINLAND:65.7817:24.5989
KAJAANI, FINLAND:64.2853:27.6922
KAUHAJOKI, FINLAND:62.4625:22.3931
KRUUNUPYY, FINLAND:63.7211:23.1431
KEMIJARVI, FINLAND:66.7128:27.1567
KUUSAMO, FINLAND:65.9875:29.2392
KITTILA, FINLAND:67.7008:24.8467
KUOPIO, FINLAND:63.0069:27.7975
VESIVEHMAA, FINLAND:61.1439:25.6933
LAPPEENRANTA, FINLAND:61.0444:28.1442
MARIEHAMN, FINLAND:60.1219:19.8981
MENKIJARVI, FINLAND:62.9467:23.5189
MIKKELI, FINLAND:61.6864:27.2017
NUMMELA, FINLAND:60.3339:24.2964
OULU, FINLAND:64.93:25.3544
PIIKAJARVI, FINLAND:61.2456:22.1933
PORI, FINLAND:61.4617:21.7997
PUDASJARVI, FINLAND:65.4022:26.9469
PYHASALMI, FINLAND:63.7317:25.9261
PATTIJOKI, FINLAND:64.6881:24.6958
RANTASALMI, FINLAND:62.0653:28.3564
ROVANIEMI, FINLAND:66.5647:25.8303
RAYSKALA, FINLAND:60.7447:24.1078
SAVONLINNA, FINLAND:61.9431:28.945
SELANPAA, FINLAND:61.0622:26.7986
SODANKYLA, FINLAND:67.395:26.6189
TAMPERE, FINLAND:61.4139:23.6042
TEISKO, FINLAND:61.7733:24.0269
TURKU, FINLAND:60.5139:22.2628
UTTI, FINLAND:60.8964:26.9383
VAASA, FINLAND:63.0511:21.7614
VARKAUS, FINLAND:62.1711:27.8686
YLIVIESKA-RAUDASKYLA, FINLAND:64.0603:24.7158
BELFAST, NORTH IRELAND:54.57925:W5.93892:115
ENNISKILLEN, ENGLAND:54.3989:W7.65167
LONDONDERRY, NORTH IRELAND:54.9978678:W7.3213056
BIRMINGHAM, ENGLAND:52.4796992:W1.9026911:267
COVENTRY, ENGLAND:52.4081812:W1.510477:81
LEICESTER, ENGLAND:52.6361398:W1.1330789:109
NOTTINGHAM, ENGLAND:52.9534193:W1.1496461:176
HALFPENNY GREEN, ENGLAND:52.5175:W2.25972
PAILTON, UK:51.6681:W2.05694
TURWESTON, UK:52.0408:W1.09556
MANCHESTER, ENGLAND:53.4794892:W2.2451148:1276
WOODFORT, ENGLAND:53.3381:W2.14889
SANDTOFT, UK:53.5597:W0.858333
CHIVENOR, ENGLAND:51.0869:W4.15028
NEWQUAI, ENGLAND:50.4406:W4.99528
LYNEHAM, UK:51.505:W1.99333
BOSCOMBE DOWN, ENGLAND:51.1519:W1.74722
CULDROSE, ENGLAND:50.0858:W5.25556
ST. ATHAN, UK:51.4047:W3.43556
YEOVILTON, UK:51.0092:W2.63861
HAVERFORDWEST, ENGLAND:51.8331:W4.96111
CARDIFF, WALES:51.4816546:W3.1791934:140
SWANSEA, ENGLAND:51.623192463569175:W3.9580269270752:380
BRISTOL, ENGLAND:51.4538022:W2.5972985:110
LIVERPOOL, ENGLAND:53.407154:W2.991665:199
LONDON, ENGLAND:51.5073219:W0.1276474:1738
PLYMOUTH, ENGLAND:50.38433871605018:W4.142479969311532:79
BOURNEMOUTH, ENGLAND:50.7423141383493:W1.8999454858886722:46
SOUTHAMPTON, ENGLAND:50.92571412096368:W1.4174069260253863:72
GUERNSEY, GUERNSEY ISLD.:49.4347:W2.60194
JERSEY, ENGLAND:51.7682578:W0.293425
FARNBOROUGH, ENGLAND:51.2758:W0.776111
CHALSGROVE, ENGLAND:51.6761:W1.08083
BLACKBUSHE, ENGLAND:51.3239:W0.8475
SOUTHEND, ENGLAND:51.5714:0.695556
LYDD, UK:50.9561:0.939167
MANSTON, ENGLAND:51.3422:1.34611
BROUGH, ENGLAND:53.7194:W0.566111
CARLISLE, ENGLAND:54.89144:W2.93536
BLACKPOOL, ENGLAND:53.7717:W3.02861:34
HUMBERSIDE, ENGLAND:53.5744:W0.350833
BARROW ISLAND, ENGLAND:54.1297:W3.25611
LEEDS, ENGLAND:53.7974185:W1.5437941:551
WARTON, UK:53.745:W2.88306
HAWARDEN, ENGLAND:53.1781:W2.97778
ISLE OF MAN, ENGLAND:54.0833:W4.62389
NEWCASTLE, ENGLAND:54.9738474:W1.6131572:114
MIDDLESBROUGH, ENGLAND:54.5760419:W1.2344047:114
LLANBEDR, ENGLAND:52.8117:W4.12333
TERNHILL, UK:52.8711:W2.53333
MONA, UK:53.2583:W4.37333
SHAWBURY, UK:52.7981:W2.66778
VALLEY, UK:53.2481:W4.53528
WOODVALE, UK:53.5814:W3.05528
WEST FREUGH, UK:54.8511:W4.94778
